[2024-05-04 09:51:32,317][train_prior.py][line:134][INFO] Epoch:00, 07360/64000, loss: 18.2988, time: 5.323, lr: [0.0002]
[2024-05-04 09:51:37,538][train_prior.py][line:134][INFO] Epoch:00, 07520/64000, loss: 18.1528, time: 5.221, lr: [0.0002]
[2024-05-04 09:51:42,915][train_prior.py][line:134][INFO] Epoch:00, 07680/64000, loss: 18.0142, time: 5.378, lr: [0.0002]
[2024-05-04 09:51:48,271][train_prior.py][line:134][INFO] Epoch:00, 07840/64000, loss: 17.8679, time: 5.356, lr: [0.0002]
[2024-05-04 09:51:53,623][train_prior.py][line:134][INFO] Epoch:00, 08000/64000, loss: 17.7217, time: 5.352, lr: [0.0002]
[2024-05-04 09:51:58,994][train_prior.py][line:134][INFO] Epoch:00, 08160/64000, loss: 17.5857, time: 5.371, lr: [0.0002]
[2024-05-04 09:52:04,205][train_prior.py][line:134][INFO] Epoch:00, 08320/64000, loss: 17.4615, time: 5.211, lr: [0.0002]
[2024-05-04 09:52:09,735][train_prior.py][line:134][INFO] Epoch:00, 08480/64000, loss: 17.3384, time: 5.530, lr: [0.0002]
[2024-05-04 09:52:15,104][train_prior.py][line:134][INFO] Epoch:00, 08640/64000, loss: 17.2191, time: 5.369, lr: [0.0002]
[2024-05-04 09:52:20,526][train_prior.py][line:134][INFO] Epoch:00, 08800/64000, loss: 17.1089, time: 5.422, lr: [0.0002]
[2024-05-04 09:52:25,832][train_prior.py][line:134][INFO] Epoch:00, 08960/64000, loss: 17.0005, time: 5.306, lr: [0.0002]
[2024-05-04 09:52:31,138][train_prior.py][line:134][INFO] Epoch:00, 09120/64000, loss: 16.8863, time: 5.306, lr: [0.0002]
[2024-05-04 09:52:36,422][train_prior.py][line:134][INFO] Epoch:00, 09280/64000, loss: 16.7801, time: 5.284, lr: [0.0002]
[2024-05-04 09:52:41,667][train_prior.py][line:134][INFO] Epoch:00, 09440/64000, loss: 16.6675, time: 5.245, lr: [0.0002]
[2024-05-04 09:52:47,186][train_prior.py][line:134][INFO] Epoch:00, 09600/64000, loss: 16.5544, time: 5.519, lr: [0.0002]
[2024-05-04 09:52:52,482][train_prior.py][line:134][INFO] Epoch:00, 09760/64000, loss: 16.4506, time: 5.296, lr: [0.0002]
[2024-05-04 09:52:57,828][train_prior.py][line:134][INFO] Epoch:00, 09920/64000, loss: 16.3486, time: 5.347, lr: [0.0002]
[2024-05-04 09:53:03,170][train_prior.py][line:134][INFO] Epoch:00, 10080/64000, loss: 16.2568, time: 5.341, lr: [0.0002]
[2024-05-04 09:53:08,467][train_prior.py][line:134][INFO] Epoch:00, 10240/64000, loss: 16.1660, time: 5.298, lr: [0.0002]
[2024-05-04 09:53:13,934][train_prior.py][line:134][INFO] Epoch:00, 10400/64000, loss: 16.0742, time: 5.467, lr: [0.0002]
[2024-05-04 09:53:19,561][train_prior.py][line:134][INFO] Epoch:00, 10560/64000, loss: 15.9791, time: 5.626, lr: [0.0002]
[2024-05-04 09:53:24,876][train_prior.py][line:134][INFO] Epoch:00, 10720/64000, loss: 15.8869, time: 5.315, lr: [0.0002]
[2024-05-04 09:53:30,198][train_prior.py][line:134][INFO] Epoch:00, 10880/64000, loss: 15.7932, time: 5.322, lr: [0.0002]
[2024-05-04 09:53:35,551][train_prior.py][line:134][INFO] Epoch:00, 11040/64000, loss: 15.7067, time: 5.353, lr: [0.0002]
[2024-05-04 09:53:40,972][train_prior.py][line:134][INFO] Epoch:00, 11200/64000, loss: 15.6307, time: 5.421, lr: [0.0002]
[2024-05-04 09:53:46,204][train_prior.py][line:134][INFO] Epoch:00, 11360/64000, loss: 15.5524, time: 5.232, lr: [0.0002]
[2024-05-04 09:53:51,554][train_prior.py][line:134][INFO] Epoch:00, 11520/64000, loss: 15.4576, time: 5.350, lr: [0.0002]
[2024-05-04 09:53:56,813][train_prior.py][line:134][INFO] Epoch:00, 11680/64000, loss: 15.3770, time: 5.259, lr: [0.0002]
[2024-05-04 09:54:02,053][train_prior.py][line:134][INFO] Epoch:00, 11840/64000, loss: 15.2889, time: 5.239, lr: [0.0002]
[2024-05-04 09:54:07,410][train_prior.py][line:134][INFO] Epoch:00, 12000/64000, loss: 15.2042, time: 5.358, lr: [0.0002]
[2024-05-04 09:54:12,752][train_prior.py][line:134][INFO] Epoch:00, 12160/64000, loss: 15.1303, time: 5.341, lr: [0.0002]
[2024-05-04 09:54:18,075][train_prior.py][line:134][INFO] Epoch:00, 12320/64000, loss: 15.0557, time: 5.323, lr: [0.0002]
[2024-05-04 09:54:23,559][train_prior.py][line:134][INFO] Epoch:00, 12480/64000, loss: 14.9753, time: 5.484, lr: [0.0002]
[2024-05-04 09:54:28,907][train_prior.py][line:134][INFO] Epoch:00, 12640/64000, loss: 14.9062, time: 5.348, lr: [0.0002]
[2024-05-04 09:54:34,355][train_prior.py][line:134][INFO] Epoch:00, 12800/64000, loss: 14.8261, time: 5.448, lr: [0.0002]
[2024-05-04 09:54:39,803][train_prior.py][line:134][INFO] Epoch:00, 12960/64000, loss: 14.7557, time: 5.448, lr: [0.0002]
[2024-05-04 09:54:45,006][train_prior.py][line:134][INFO] Epoch:00, 13120/64000, loss: 14.6985, time: 5.204, lr: [0.0002]
[2024-05-04 09:54:50,308][train_prior.py][line:134][INFO] Epoch:00, 13280/64000, loss: 14.6362, time: 5.302, lr: [0.0002]
[2024-05-04 09:54:55,675][train_prior.py][line:134][INFO] Epoch:00, 13440/64000, loss: 14.5792, time: 5.367, lr: [0.0002]
[2024-05-04 09:55:00,874][train_prior.py][line:134][INFO] Epoch:00, 13600/64000, loss: 14.5188, time: 5.199, lr: [0.0002]
[2024-05-04 09:55:06,198][train_prior.py][line:134][INFO] Epoch:00, 13760/64000, loss: 14.4560, time: 5.324, lr: [0.0002]
[2024-05-04 09:55:11,550][train_prior.py][line:134][INFO] Epoch:00, 13920/64000, loss: 14.3969, time: 5.352, lr: [0.0002]
[2024-05-04 09:55:16,983][train_prior.py][line:134][INFO] Epoch:00, 14080/64000, loss: 14.3442, time: 5.433, lr: [0.0002]
[2024-05-04 09:55:22,308][train_prior.py][line:134][INFO] Epoch:00, 14240/64000, loss: 14.2975, time: 5.326, lr: [0.0002]
[2024-05-04 09:55:27,809][train_prior.py][line:134][INFO] Epoch:00, 14400/64000, loss: 14.2482, time: 5.500, lr: [0.0002]
[2024-05-04 09:55:33,198][train_prior.py][line:134][INFO] Epoch:00, 14560/64000, loss: 14.2051, time: 5.389, lr: [0.0002]
[2024-05-04 09:55:38,590][train_prior.py][line:134][INFO] Epoch:00, 14720/64000, loss: 14.1525, time: 5.392, lr: [0.0002]
[2024-05-04 09:55:43,926][train_prior.py][line:134][INFO] Epoch:00, 14880/64000, loss: 14.1011, time: 5.337, lr: [0.0002]
[2024-05-04 09:55:49,448][train_prior.py][line:134][INFO] Epoch:00, 15040/64000, loss: 14.0541, time: 5.521, lr: [0.0002]
[2024-05-04 09:55:54,859][train_prior.py][line:134][INFO] Epoch:00, 15200/64000, loss: 14.0056, time: 5.411, lr: [0.0002]
[2024-05-04 09:56:00,271][train_prior.py][line:134][INFO] Epoch:00, 15360/64000, loss: 13.9478, time: 5.412, lr: [0.0002]
[2024-05-04 09:56:05,564][train_prior.py][line:134][INFO] Epoch:00, 15520/64000, loss: 13.8878, time: 5.293, lr: [0.0002]
[2024-05-04 09:56:10,914][train_prior.py][line:134][INFO] Epoch:00, 15680/64000, loss: 13.8358, time: 5.349, lr: [0.0002]
[2024-05-04 09:56:16,290][train_prior.py][line:134][INFO] Epoch:00, 15840/64000, loss: 13.7829, time: 5.377, lr: [0.0002]
[2024-05-04 09:56:21,838][train_prior.py][line:134][INFO] Epoch:00, 16000/64000, loss: 13.7426, time: 5.548, lr: [0.0002]
[2024-05-04 09:56:27,209][train_prior.py][line:134][INFO] Epoch:00, 16160/64000, loss: 13.6927, time: 5.372, lr: [0.0002]
[2024-05-04 09:56:32,603][train_prior.py][line:134][INFO] Epoch:00, 16320/64000, loss: 13.6430, time: 5.394, lr: [0.0002]
[2024-05-04 09:56:37,880][train_prior.py][line:134][INFO] Epoch:00, 16480/64000, loss: 13.5957, time: 5.277, lr: [0.0002]
[2024-05-04 09:56:43,104][train_prior.py][line:134][INFO] Epoch:00, 16640/64000, loss: 13.5547, time: 5.224, lr: [0.0002]
[2024-05-04 09:56:48,565][train_prior.py][line:134][INFO] Epoch:00, 16800/64000, loss: 13.5061, time: 5.461, lr: [0.0002]
[2024-05-04 09:56:54,050][train_prior.py][line:134][INFO] Epoch:00, 16960/64000, loss: 13.4632, time: 5.484, lr: [0.0002]
[2024-05-04 09:56:59,415][train_prior.py][line:134][INFO] Epoch:00, 17120/64000, loss: 13.4193, time: 5.366, lr: [0.0002]
[2024-05-04 09:57:04,859][train_prior.py][line:134][INFO] Epoch:00, 17280/64000, loss: 13.3731, time: 5.443, lr: [0.0002]
[2024-05-04 09:57:10,199][train_prior.py][line:134][INFO] Epoch:00, 17440/64000, loss: 13.3305, time: 5.340, lr: [0.0002]
[2024-05-04 09:57:15,543][train_prior.py][line:134][INFO] Epoch:00, 17600/64000, loss: 13.2913, time: 5.344, lr: [0.0002]
[2024-05-04 09:57:20,757][train_prior.py][line:134][INFO] Epoch:00, 17760/64000, loss: 13.2551, time: 5.214, lr: [0.0002]
[2024-05-04 09:57:26,071][train_prior.py][line:134][INFO] Epoch:00, 17920/64000, loss: 13.2255, time: 5.314, lr: [0.0002]
[2024-05-04 09:57:31,453][train_prior.py][line:134][INFO] Epoch:00, 18080/64000, loss: 13.1878, time: 5.382, lr: [0.0002]
[2024-05-04 09:57:36,916][train_prior.py][line:134][INFO] Epoch:00, 18240/64000, loss: 13.1501, time: 5.463, lr: [0.0002]
[2024-05-04 09:57:42,281][train_prior.py][line:134][INFO] Epoch:00, 18400/64000, loss: 13.1199, time: 5.365, lr: [0.0002]
[2024-05-04 09:57:47,546][train_prior.py][line:134][INFO] Epoch:00, 18560/64000, loss: 13.0802, time: 5.265, lr: [0.0002]
[2024-05-04 09:57:52,829][train_prior.py][line:134][INFO] Epoch:00, 18720/64000, loss: 13.0531, time: 5.283, lr: [0.0002]
[2024-05-04 09:57:58,222][train_prior.py][line:134][INFO] Epoch:00, 18880/64000, loss: 13.0181, time: 5.393, lr: [0.0002]
[2024-05-04 09:58:03,714][train_prior.py][line:134][INFO] Epoch:00, 19040/64000, loss: 12.9835, time: 5.492, lr: [0.0002]
[2024-05-04 09:58:09,192][train_prior.py][line:134][INFO] Epoch:00, 19200/64000, loss: 12.9466, time: 5.477, lr: [0.0002]
[2024-05-04 09:58:14,948][train_prior.py][line:134][INFO] Epoch:00, 19360/64000, loss: 12.9148, time: 5.757, lr: [0.0002]
[2024-05-04 09:58:20,288][train_prior.py][line:134][INFO] Epoch:00, 19520/64000, loss: 12.8913, time: 5.340, lr: [0.0002]
[2024-05-04 09:58:25,582][train_prior.py][line:134][INFO] Epoch:00, 19680/64000, loss: 12.8618, time: 5.293, lr: [0.0002]
[2024-05-04 09:58:30,897][train_prior.py][line:134][INFO] Epoch:00, 19840/64000, loss: 12.8311, time: 5.315, lr: [0.0002]
[2024-05-04 09:58:36,210][train_prior.py][line:134][INFO] Epoch:00, 20000/64000, loss: 12.8021, time: 5.313, lr: [0.0002]
[2024-05-04 09:58:41,511][train_prior.py][line:134][INFO] Epoch:00, 20160/64000, loss: 12.7768, time: 5.301, lr: [0.0002]
[2024-05-04 09:58:46,875][train_prior.py][line:134][INFO] Epoch:00, 20320/64000, loss: 12.7457, time: 5.365, lr: [0.0002]
[2024-05-04 09:58:52,417][train_prior.py][line:134][INFO] Epoch:00, 20480/64000, loss: 12.7183, time: 5.541, lr: [0.0002]
[2024-05-04 09:58:57,763][train_prior.py][line:134][INFO] Epoch:00, 20640/64000, loss: 12.6935, time: 5.346, lr: [0.0002]
[2024-05-04 09:59:03,245][train_prior.py][line:134][INFO] Epoch:00, 20800/64000, loss: 12.6693, time: 5.482, lr: [0.0002]
[2024-05-04 09:59:08,650][train_prior.py][line:134][INFO] Epoch:00, 20960/64000, loss: 12.6433, time: 5.405, lr: [0.0002]
[2024-05-04 09:59:14,031][train_prior.py][line:134][INFO] Epoch:00, 21120/64000, loss: 12.6191, time: 5.381, lr: [0.0002]
[2024-05-04 09:59:19,339][train_prior.py][line:134][INFO] Epoch:00, 21280/64000, loss: 12.5920, time: 5.308, lr: [0.0002]
[2024-05-04 09:59:24,947][train_prior.py][line:134][INFO] Epoch:00, 21440/64000, loss: 12.5662, time: 5.607, lr: [0.0002]
[2024-05-04 09:59:30,383][train_prior.py][line:134][INFO] Epoch:00, 21600/64000, loss: 12.5451, time: 5.437, lr: [0.0002]
[2024-05-04 09:59:35,803][train_prior.py][line:134][INFO] Epoch:00, 21760/64000, loss: 12.5185, time: 5.420, lr: [0.0002]
[2024-05-04 09:59:41,079][train_prior.py][line:134][INFO] Epoch:00, 21920/64000, loss: 12.4953, time: 5.275, lr: [0.0002]
[2024-05-04 09:59:46,386][train_prior.py][line:134][INFO] Epoch:00, 22080/64000, loss: 12.4715, time: 5.308, lr: [0.0002]
[2024-05-04 09:59:51,658][train_prior.py][line:134][INFO] Epoch:00, 22240/64000, loss: 12.4508, time: 5.272, lr: [0.0002]
[2024-05-04 09:59:56,995][train_prior.py][line:134][INFO] Epoch:00, 22400/64000, loss: 12.4336, time: 5.337, lr: [0.0002]
[2024-05-04 10:00:02,428][train_prior.py][line:134][INFO] Epoch:00, 22560/64000, loss: 12.4138, time: 5.433, lr: [0.0002]
[2024-05-04 10:00:07,666][train_prior.py][line:134][INFO] Epoch:00, 22720/64000, loss: 12.3913, time: 5.238, lr: [0.0002]
[2024-05-04 10:00:13,017][train_prior.py][line:134][INFO] Epoch:00, 22880/64000, loss: 12.3743, time: 5.352, lr: [0.0002]
[2024-05-04 10:00:18,342][train_prior.py][line:134][INFO] Epoch:00, 23040/64000, loss: 12.3541, time: 5.324, lr: [0.0002]
[2024-05-04 10:00:23,767][train_prior.py][line:134][INFO] Epoch:00, 23200/64000, loss: 12.3381, time: 5.425, lr: [0.0002]
[2024-05-04 10:00:29,234][train_prior.py][line:134][INFO] Epoch:00, 23360/64000, loss: 12.3159, time: 5.466, lr: [0.0002]
[2024-05-04 10:00:34,637][train_prior.py][line:134][INFO] Epoch:00, 23520/64000, loss: 12.2971, time: 5.404, lr: [0.0002]
[2024-05-04 10:00:40,042][train_prior.py][line:134][INFO] Epoch:00, 23680/64000, loss: 12.2796, time: 5.405, lr: [0.0002]
[2024-05-04 10:00:45,511][train_prior.py][line:134][INFO] Epoch:00, 23840/64000, loss: 12.2598, time: 5.469, lr: [0.0002]
[2024-05-04 10:00:50,900][train_prior.py][line:134][INFO] Epoch:00, 24000/64000, loss: 12.2387, time: 5.390, lr: [0.0002]
[2024-05-04 10:00:56,215][train_prior.py][line:134][INFO] Epoch:00, 24160/64000, loss: 12.2100, time: 5.315, lr: [0.0002]
[2024-05-04 10:01:01,698][train_prior.py][line:134][INFO] Epoch:00, 24320/64000, loss: 12.1871, time: 5.483, lr: [0.0002]
[2024-05-04 10:01:07,087][train_prior.py][line:134][INFO] Epoch:00, 24480/64000, loss: 12.1632, time: 5.389, lr: [0.0002]
[2024-05-04 10:01:12,419][train_prior.py][line:134][INFO] Epoch:00, 24640/64000, loss: 12.1373, time: 5.332, lr: [0.0002]
[2024-05-04 10:01:17,874][train_prior.py][line:134][INFO] Epoch:00, 24800/64000, loss: 12.1143, time: 5.455, lr: [0.0002]
[2024-05-04 10:01:23,219][train_prior.py][line:134][INFO] Epoch:00, 24960/64000, loss: 12.0932, time: 5.345, lr: [0.0002]
[2024-05-04 10:01:28,493][train_prior.py][line:134][INFO] Epoch:00, 25120/64000, loss: 12.0754, time: 5.274, lr: [0.0002]
[2024-05-04 10:01:33,990][train_prior.py][line:134][INFO] Epoch:00, 25280/64000, loss: 12.0555, time: 5.497, lr: [0.0002]
[2024-05-04 10:01:39,444][train_prior.py][line:134][INFO] Epoch:00, 25440/64000, loss: 12.0423, time: 5.454, lr: [0.0002]
[2024-05-04 10:01:44,825][train_prior.py][line:134][INFO] Epoch:00, 25600/64000, loss: 12.0274, time: 5.381, lr: [0.0002]
[2024-05-04 10:01:50,483][train_prior.py][line:134][INFO] Epoch:00, 25760/64000, loss: 12.0158, time: 5.659, lr: [0.0002]
[2024-05-04 10:01:56,113][train_prior.py][line:134][INFO] Epoch:00, 25920/64000, loss: 11.9986, time: 5.630, lr: [0.0002]
[2024-05-04 10:02:01,308][train_prior.py][line:134][INFO] Epoch:00, 26080/64000, loss: 11.9830, time: 5.195, lr: [0.0002]
[2024-05-04 10:02:06,690][train_prior.py][line:134][INFO] Epoch:00, 26240/64000, loss: 11.9652, time: 5.382, lr: [0.0002]
[2024-05-04 10:02:12,005][train_prior.py][line:134][INFO] Epoch:00, 26400/64000, loss: 11.9450, time: 5.315, lr: [0.0002]
[2024-05-04 10:02:17,186][train_prior.py][line:134][INFO] Epoch:00, 26560/64000, loss: 11.9234, time: 5.181, lr: [0.0002]
[2024-05-04 10:02:22,543][train_prior.py][line:134][INFO] Epoch:00, 26720/64000, loss: 11.9036, time: 5.357, lr: [0.0002]
[2024-05-04 10:02:27,923][train_prior.py][line:134][INFO] Epoch:00, 26880/64000, loss: 11.8905, time: 5.380, lr: [0.0002]
[2024-05-04 10:02:33,252][train_prior.py][line:134][INFO] Epoch:00, 27040/64000, loss: 11.8770, time: 5.329, lr: [0.0002]
[2024-05-04 10:02:38,590][train_prior.py][line:134][INFO] Epoch:00, 27200/64000, loss: 11.8584, time: 5.337, lr: [0.0002]
[2024-05-04 10:02:43,940][train_prior.py][line:134][INFO] Epoch:00, 27360/64000, loss: 11.8360, time: 5.350, lr: [0.0002]
[2024-05-04 10:02:49,292][train_prior.py][line:134][INFO] Epoch:00, 27520/64000, loss: 11.8169, time: 5.352, lr: [0.0002]
[2024-05-04 10:02:54,643][train_prior.py][line:134][INFO] Epoch:00, 27680/64000, loss: 11.8023, time: 5.351, lr: [0.0002]
[2024-05-04 10:03:00,032][train_prior.py][line:134][INFO] Epoch:00, 27840/64000, loss: 11.7805, time: 5.389, lr: [0.0002]
[2024-05-04 10:03:05,207][train_prior.py][line:134][INFO] Epoch:00, 28000/64000, loss: 11.7685, time: 5.175, lr: [0.0002]
[2024-05-04 10:03:10,452][train_prior.py][line:134][INFO] Epoch:00, 28160/64000, loss: 11.7520, time: 5.246, lr: [0.0002]
[2024-05-04 10:03:15,691][train_prior.py][line:134][INFO] Epoch:00, 28320/64000, loss: 11.7394, time: 5.239, lr: [0.0002]
[2024-05-04 10:03:20,968][train_prior.py][line:134][INFO] Epoch:00, 28480/64000, loss: 11.7274, time: 5.277, lr: [0.0002]
[2024-05-04 10:03:26,248][train_prior.py][line:134][INFO] Epoch:00, 28640/64000, loss: 11.7148, time: 5.280, lr: [0.0002]
[2024-05-04 10:03:31,824][train_prior.py][line:134][INFO] Epoch:00, 28800/64000, loss: 11.6988, time: 5.576, lr: [0.0002]
[2024-05-04 10:03:37,078][train_prior.py][line:134][INFO] Epoch:00, 28960/64000, loss: 11.6867, time: 5.254, lr: [0.0002]
[2024-05-04 10:03:42,406][train_prior.py][line:134][INFO] Epoch:00, 29120/64000, loss: 11.6740, time: 5.327, lr: [0.0002]
[2024-05-04 10:03:47,708][train_prior.py][line:134][INFO] Epoch:00, 29280/64000, loss: 11.6593, time: 5.303, lr: [0.0002]
[2024-05-04 10:03:53,076][train_prior.py][line:134][INFO] Epoch:00, 29440/64000, loss: 11.6438, time: 5.368, lr: [0.0002]
[2024-05-04 10:03:58,378][train_prior.py][line:134][INFO] Epoch:00, 29600/64000, loss: 11.6345, time: 5.302, lr: [0.0002]
[2024-05-04 10:04:03,690][train_prior.py][line:134][INFO] Epoch:00, 29760/64000, loss: 11.6155, time: 5.311, lr: [0.0002]
[2024-05-04 10:04:09,377][train_prior.py][line:134][INFO] Epoch:00, 29920/64000, loss: 11.6025, time: 5.687, lr: [0.0002]
[2024-05-04 10:04:15,044][train_prior.py][line:134][INFO] Epoch:00, 30080/64000, loss: 11.5907, time: 5.667, lr: [0.0002]
[2024-05-04 10:04:20,568][train_prior.py][line:134][INFO] Epoch:00, 30240/64000, loss: 11.5810, time: 5.524, lr: [0.0002]
[2024-05-04 10:04:25,708][train_prior.py][line:134][INFO] Epoch:00, 30400/64000, loss: 11.5617, time: 5.140, lr: [0.0002]
[2024-05-04 10:04:31,051][train_prior.py][line:134][INFO] Epoch:00, 30560/64000, loss: 11.5487, time: 5.343, lr: [0.0002]
[2024-05-04 10:04:36,355][train_prior.py][line:134][INFO] Epoch:00, 30720/64000, loss: 11.5367, time: 5.304, lr: [0.0002]
[2024-05-04 10:04:41,712][train_prior.py][line:134][INFO] Epoch:00, 30880/64000, loss: 11.5232, time: 5.356, lr: [0.0002]
[2024-05-04 10:04:47,148][train_prior.py][line:134][INFO] Epoch:00, 31040/64000, loss: 11.5115, time: 5.437, lr: [0.0002]
[2024-05-04 10:04:52,407][train_prior.py][line:134][INFO] Epoch:00, 31200/64000, loss: 11.4941, time: 5.259, lr: [0.0002]
[2024-05-04 10:04:57,793][train_prior.py][line:134][INFO] Epoch:00, 31360/64000, loss: 11.4832, time: 5.386, lr: [0.0002]
[2024-05-04 10:05:03,054][train_prior.py][line:134][INFO] Epoch:00, 31520/64000, loss: 11.4740, time: 5.260, lr: [0.0002]
